Using hybrid two-pass approach
APSC: Starting from 2550 to 198
Collapsed to 2410 vertices (cost: 76.9231)
Collapsed to 2409 vertices (cost: 77.7778)
Collapsed to 2408 vertices (cost: 78.125)
Collapsed to 2407 vertices (cost: 37.5)
Collapsed to 2406 vertices (cost: 80)
Collapsed to 2405 vertices (cost: 80)
Collapsed to 2404 vertices (cost: 80)
Collapsed to 2403 vertices (cost: 80)
Collapsed to 2402 vertices (cost: 80)
Collapsed to 2401 vertices (cost: 40)
Collapsed to 2400 vertices (cost: 80)
Collapsed to 2399 vertices (cost: 80)
Collapsed to 2398 vertices (cost: 12.2449)
Collapsed to 2397 vertices (cost: 2.01562e-05)
Collapsed to 2396 vertices (cost: 5.54335e-05)
Collapsed to 2395 vertices (cost: 1.0361e-07)
Collapsed to 2394 vertices (cost: 80)
Collapsed to 2393 vertices (cost: 5.40541)
Collapsed to 2392 vertices (cost: 23.6288)
Collapsed to 2391 vertices (cost: 81.8182)
Collapsed to 2390 vertices (cost: 7.54717)
Collapsed to 2389 vertices (cost: 81.8182)
Collapsed to 2388 vertices (cost: 81.8182)
Collapsed to 2387 vertices (cost: 82.3529)
Collapsed to 2386 vertices (cost: 82.3529)
Collapsed to 2385 vertices (cost: 83.3333)
Collapsed to 2384 vertices (cost: 2.4947e-05)
Collapsed to 2383 vertices (cost: 30.4348)
Collapsed to 2382 vertices (cost: 11.1111)
Collapsed to 2381 vertices (cost: 7.5344e-05)
Collapsed to 2380 vertices (cost: 7.11427e-09)
Collapsed to 2379 vertices (cost: 0.000150646)
Collapsed to 2378 vertices (cost: 83.3333)
Collapsed to 2377 vertices (cost: 18.75)
Collapsed to 2376 vertices (cost: 85.6862)
Collapsed to 2375 vertices (cost: 85.7143)
Collapsed to 2374 vertices (cost: 85.7143)
Collapsed to 2373 vertices (cost: 86.3158)
Collapsed to 2372 vertices (cost: 60.1275)
Collapsed to 2371 vertices (cost: 87.5)
Collapsed to 2370 vertices (cost: 88)
Collapsed to 2369 vertices (cost: 88.8889)
Collapsed to 2368 vertices (cost: 3.44359e-05)
Collapsed to 2367 vertices (cost: 2.22027e-05)
Collapsed to 2366 vertices (cost: 6.44056e-05)
Collapsed to 2365 vertices (cost: 3.12051e-05)
Collapsed to 2364 vertices (cost: 44.4943)
Collapsed to 2363 vertices (cost: 90)
Collapsed to 2362 vertices (cost: 90.3226)
Collapsed to 2361 vertices (cost: 91.6667)
Collapsed to 2360 vertices (cost: 4.16667)
Collapsed to 2359 vertices (cost: 91.6667)
Collapsed to 2358 vertices (cost: 92.3077)
Collapsed to 2357 vertices (cost: 24.6586)
Collapsed to 2356 vertices (cost: 92.5926)
Collapsed to 2355 vertices (cost: 94.1176)
Collapsed to 2354 vertices (cost: 100)
Collapsed to 2353 vertices (cost: 100)
Collapsed to 2352 vertices (cost: 100)
Collapsed to 2351 vertices (cost: 85.7143)
Collapsed to 2350 vertices (cost: 5.98702e-09)
Collapsed to 2349 vertices (cost: 65.3061)
Collapsed to 2348 vertices (cost: 100)
Collapsed to 2347 vertices (cost: 100)
Collapsed to 2346 vertices (cost: 3.10435e-05)
Collapsed to 2345 vertices (cost: 1.05938e-07)
Collapsed to 2344 vertices (cost: 100)
Collapsed to 2343 vertices (cost: 100)
Collapsed to 2342 vertices (cost: 100)
Collapsed to 2341 vertices (cost: 22.2222)
Collapsed to 2340 vertices (cost: 100)
Collapsed to 2339 vertices (cost: 100)
Collapsed to 2338 vertices (cost: 46.1538)
Collapsed to 2337 vertices (cost: 100)
Collapsed to 2336 vertices (cost: 40)
Collapsed to 2335 vertices (cost: 100)
Collapsed to 2334 vertices (cost: 100)
Collapsed to 2333 vertices (cost: 100)
Collapsed to 2332 vertices (cost: 54.5455)
Collapsed to 2331 vertices (cost: 62.2517)
Collapsed to 2330 vertices (cost: 100)
Collapsed to 2329 vertices (cost: 100)
Collapsed to 2328 vertices (cost: 100)
Collapsed to 2327 vertices (cost: 100)
Collapsed to 2326 vertices (cost: 0)
Collapsed to 2325 vertices (cost: 0)
Collapsed to 2324 vertices (cost: 100)
Collapsed to 2323 vertices (cost: 100)
Collapsed to 2322 vertices (cost: 100)
Collapsed to 2321 vertices (cost: 10)
Collapsed to 2320 vertices (cost: 10.9091)
Collapsed to 2319 vertices (cost: 3.4092)
Collapsed to 2318 vertices (cost: 100)
Collapsed to 2317 vertices (cost: 102.857)
Collapsed to 2316 vertices (cost: 103.759)
Collapsed to 2315 vertices (cost: 104.142)
Collapsed to 2314 vertices (cost: 107.143)
Collapsed to 2313 vertices (cost: 107.692)
Collapsed to 2312 vertices (cost: 108.108)
Collapsed to 2311 vertices (cost: 109.091)
Collapsed to 2310 vertices (cost: 109.091)
Collapsed to 2309 vertices (cost: 89.6552)
Collapsed to 2308 vertices (cost: 111.111)
Collapsed to 2307 vertices (cost: 112.234)
Collapsed to 2306 vertices (cost: 112.5)
Collapsed to 2305 vertices (cost: 3.63636)
Collapsed to 2304 vertices (cost: 112.5)
Collapsed to 2303 vertices (cost: 114.286)
Collapsed to 2302 vertices (cost: 115.385)
Collapsed to 2301 vertices (cost: 116.471)
Collapsed to 2300 vertices (cost: 116.667)
Collapsed to 2299 vertices (cost: 6.90009e-05)
Collapsed to 2298 vertices (cost: 99.9999)
Collapsed to 2297 vertices (cost: 116.667)
Collapsed to 2296 vertices (cost: 5.32658e-05)
Collapsed to 2295 vertices (cost: 21.4286)
Collapsed to 2294 vertices (cost: 120)
Collapsed to 2293 vertices (cost: 120)
Collapsed to 2292 vertices (cost: 120)
Collapsed to 2291 vertices (cost: 120)
Collapsed to 2290 vertices (cost: 120)
Collapsed to 2289 vertices (cost: 125)
Collapsed to 2288 vertices (cost: 18.75)
Collapsed to 2287 vertices (cost: 125)
Collapsed to 2286 vertices (cost: 125)
Collapsed to 2285 vertices (cost: 112.5)
Collapsed to 2284 vertices (cost: 125.373)
Collapsed to 2283 vertices (cost: 118.68)
Collapsed to 2282 vertices (cost: 130)
Collapsed to 2281 vertices (cost: 133.333)
Collapsed to 2280 vertices (cost: 133.333)
Collapsed to 2279 vertices (cost: 33.3333)
Collapsed to 2278 vertices (cost: 3.8204e-05)
Collapsed to 2277 vertices (cost: 133.333)
Collapsed to 2276 vertices (cost: 127.273)
Collapsed to 2275 vertices (cost: 27.9474)
Collapsed to 2274 vertices (cost: 133.333)
Collapsed to 2273 vertices (cost: 133.333)
Collapsed to 2272 vertices (cost: 133.333)
Collapsed to 2271 vertices (cost: 133.333)
Collapsed to 2270 vertices (cost: 5.6397e-05)
Collapsed to 2269 vertices (cost: 133.333)
Collapsed to 2268 vertices (cost: 3.41484e-08)
Collapsed to 2267 vertices (cost: 120)
Collapsed to 2266 vertices (cost: 133.333)
Collapsed to 2265 vertices (cost: 27.6596)
Collapsed to 2264 vertices (cost: 133.333)
Collapsed to 2263 vertices (cost: 135.923)
Collapsed to 2262 vertices (cost: 137.5)
Collapsed to 2261 vertices (cost: 138.462)
Collapsed to 2260 vertices (cost: 139.669)
Collapsed to 2259 vertices (cost: 95.858)
Collapsed to 2258 vertices (cost: 140)
Collapsed to 2257 vertices (cost: 140)
Collapsed to 2256 vertices (cost: 150)
Collapsed to 2255 vertices (cost: 150)
Collapsed to 2254 vertices (cost: 150)
Collapsed to 2253 vertices (cost: 66.6667)
Collapsed to 2252 vertices (cost: 2.82439e-05)
Collapsed to 2251 vertices (cost: 1.22239e-07)
Collapsed to 2250 vertices (cost: 150)
Collapsed to 2249 vertices (cost: 150)
Collapsed to 2248 vertices (cost: 150)
Collapsed to 2247 vertices (cost: 150)
Collapsed to 2246 vertices (cost: 42.8571)
Collapsed to 2245 vertices (cost: 150)
Collapsed to 2244 vertices (cost: 142.308)
Collapsed to 2243 vertices (cost: 97.028)
Collapsed to 2242 vertices (cost: 150)
Collapsed to 2241 vertices (cost: 150)
Collapsed to 2240 vertices (cost: 112.5)
Collapsed to 2239 vertices (cost: 150)
Collapsed to 2238 vertices (cost: 28.9855)
Collapsed to 2237 vertices (cost: 93.757)
Collapsed to 2236 vertices (cost: 150)
Collapsed to 2235 vertices (cost: 152.633)
Collapsed to 2234 vertices (cost: 153.165)
Collapsed to 2233 vertices (cost: 153.659)
Collapsed to 2232 vertices (cost: 155.556)
Collapsed to 2231 vertices (cost: 156.25)
Collapsed to 2230 vertices (cost: 157.143)
Collapsed to 2229 vertices (cost: 160)
Collapsed to 2228 vertices (cost: 7.14286)
Collapsed to 2227 vertices (cost: 160)
Collapsed to 2226 vertices (cost: 50)
Collapsed to 2225 vertices (cost: 160.732)
Collapsed to 2224 vertices (cost: 164.798)
Collapsed to 2223 vertices (cost: 6.45709e-05)
Collapsed to 2222 vertices (cost: 1.08076e-07)
Collapsed to 2221 vertices (cost: 166.667)
Collapsed to 2220 vertices (cost: 2.81341e-05)
Collapsed to 2219 vertices (cost: 166.667)
Collapsed to 2218 vertices (cost: 166.667)
Collapsed to 2217 vertices (cost: 166.667)
Collapsed to 2216 vertices (cost: 166.667)
Collapsed to 2215 vertices (cost: 162.963)
Collapsed to 2214 vertices (cost: 166.917)
Collapsed to 2213 vertices (cost: 166.917)
Collapsed to 2212 vertices (cost: 168.75)
Collapsed to 2211 vertices (cost: 168.889)
Collapsed to 2210 vertices (cost: 171.429)
Collapsed to 2209 vertices (cost: 171.429)
Collapsed to 2208 vertices (cost: 4.56574e-05)
Collapsed to 2207 vertices (cost: 171.429)
Collapsed to 2206 vertices (cost: 171.429)
Collapsed to 2205 vertices (cost: 171.429)
Collapsed to 2204 vertices (cost: 172.727)
Collapsed to 2203 vertices (cost: 174)
Collapsed to 2202 vertices (cost: 174.118)
Collapsed to 2201 vertices (cost: 175)
Collapsed to 2200 vertices (cost: 55.5556)
Collapsed to 2199 vertices (cost: 175)
Collapsed to 2198 vertices (cost: 175)
Collapsed to 2197 vertices (cost: 94.2308)
Collapsed to 2196 vertices (cost: 180)
Collapsed to 2195 vertices (cost: 180)
Collapsed to 2194 vertices (cost: 110)
Collapsed to 2193 vertices (cost: 180)
Collapsed to 2192 vertices (cost: 183.333)
Collapsed to 2191 vertices (cost: 75)
Collapsed to 2190 vertices (cost: 186.207)
Collapsed to 2189 vertices (cost: 187.5)
Collapsed to 2188 vertices (cost: 188.461)
Collapsed to 2187 vertices (cost: 16.4835)
Collapsed to 2186 vertices (cost: 190.252)
Collapsed to 2185 vertices (cost: 192)
Collapsed to 2184 vertices (cost: 200)
Collapsed to 2183 vertices (cost: 200)
Collapsed to 2182 vertices (cost: 78.5714)
Collapsed to 2181 vertices (cost: 72.3723)
Collapsed to 2180 vertices (cost: 200)
Collapsed to 2179 vertices (cost: 52.3809)
Collapsed to 2178 vertices (cost: 200)
Collapsed to 2177 vertices (cost: 50)
Collapsed to 2176 vertices (cost: 72.8573)
Collapsed to 2175 vertices (cost: 4.2693e-06)
Collapsed to 2174 vertices (cost: 3.06172e-08)
Collapsed to 2173 vertices (cost: 200)
Collapsed to 2172 vertices (cost: 160)
Collapsed to 2171 vertices (cost: 86.087)
Collapsed to 2170 vertices (cost: 200)
Collapsed to 2169 vertices (cost: 200)
Collapsed to 2168 vertices (cost: 200)
Collapsed to 2167 vertices (cost: 200)
Collapsed to 2166 vertices (cost: 150)
Collapsed to 2165 vertices (cost: 200)
