Using hybrid two-pass approach
APSC: Starting from 1860 to 198
Collapsed to 1728 vertices (cost: 8.83829)
Collapsed to 1727 vertices (cost: 8.90771)
Collapsed to 1726 vertices (cost: 8.93158)
Collapsed to 1725 vertices (cost: 9.05713)
Collapsed to 1724 vertices (cost: 9.1363)
Collapsed to 1723 vertices (cost: 9.19101)
Collapsed to 1722 vertices (cost: 9.34566)
Collapsed to 1721 vertices (cost: 9.35753)
Collapsed to 1720 vertices (cost: 9.50081)
Collapsed to 1719 vertices (cost: 9.53963)
Collapsed to 1718 vertices (cost: 9.58885)
Collapsed to 1717 vertices (cost: 0.148494)
Collapsed to 1716 vertices (cost: 9.67464)
Collapsed to 1715 vertices (cost: 9.68832)
Collapsed to 1714 vertices (cost: 9.71435)
Collapsed to 1713 vertices (cost: 9.89088)
Collapsed to 1712 vertices (cost: 10.4179)
Collapsed to 1711 vertices (cost: 10.4851)
Collapsed to 1710 vertices (cost: 10.6324)
Collapsed to 1709 vertices (cost: 10.6544)
Collapsed to 1708 vertices (cost: 10.8226)
Collapsed to 1707 vertices (cost: 10.8298)
Collapsed to 1706 vertices (cost: 11.0644)
Collapsed to 1705 vertices (cost: 11.0681)
Collapsed to 1704 vertices (cost: 11.1759)
Collapsed to 1703 vertices (cost: 11.2922)
Collapsed to 1702 vertices (cost: 11.3305)
Collapsed to 1701 vertices (cost: 11.4663)
Collapsed to 1700 vertices (cost: 11.9083)
Collapsed to 1699 vertices (cost: 11.9294)
Collapsed to 1698 vertices (cost: 11.9572)
Collapsed to 1697 vertices (cost: 9.04193)
Collapsed to 1696 vertices (cost: 12.041)
Collapsed to 1695 vertices (cost: 12.1673)
Collapsed to 1694 vertices (cost: 12.2601)
Collapsed to 1693 vertices (cost: 12.2717)
Collapsed to 1692 vertices (cost: 12.4104)
Collapsed to 1691 vertices (cost: 10.7735)
Collapsed to 1690 vertices (cost: 10.3915)
Collapsed to 1689 vertices (cost: 12.5021)
Collapsed to 1688 vertices (cost: 12.5755)
Collapsed to 1687 vertices (cost: 12.587)
Collapsed to 1686 vertices (cost: 12.5881)
Collapsed to 1685 vertices (cost: 2.92135)
Collapsed to 1684 vertices (cost: 12.5991)
Collapsed to 1683 vertices (cost: 12.7596)
Collapsed to 1682 vertices (cost: 0.179377)
Collapsed to 1681 vertices (cost: 12.7628)
Collapsed to 1680 vertices (cost: 12.8022)
Collapsed to 1679 vertices (cost: 12.8683)
Collapsed to 1678 vertices (cost: 12.903)
Collapsed to 1677 vertices (cost: 12.9074)
Collapsed to 1676 vertices (cost: 13.2432)
Collapsed to 1675 vertices (cost: 13.3395)
Collapsed to 1674 vertices (cost: 13.3725)
Collapsed to 1673 vertices (cost: 13.4645)
Collapsed to 1672 vertices (cost: 13.4785)
Collapsed to 1671 vertices (cost: 13.594)
Collapsed to 1670 vertices (cost: 13.6499)
Collapsed to 1669 vertices (cost: 13.8046)
Collapsed to 1668 vertices (cost: 13.8504)
Collapsed to 1667 vertices (cost: 14.1054)
Collapsed to 1666 vertices (cost: 14.1061)
Collapsed to 1665 vertices (cost: 14.1089)
Collapsed to 1664 vertices (cost: 14.1534)
Collapsed to 1663 vertices (cost: 14.2954)
Collapsed to 1662 vertices (cost: 14.3763)
Collapsed to 1661 vertices (cost: 14.6458)
Collapsed to 1660 vertices (cost: 14.6749)
Collapsed to 1659 vertices (cost: 14.7061)
Collapsed to 1658 vertices (cost: 14.7507)
Collapsed to 1657 vertices (cost: 3.09743)
Collapsed to 1656 vertices (cost: 4.95556)
