Using hybrid two-pass approach
APSC: Starting from 2000 to 198
Collapsed to 1860 vertices (cost: 50)
Collapsed to 1859 vertices (cost: 13.8889)
Collapsed to 1858 vertices (cost: 50)
Collapsed to 1857 vertices (cost: 50)
Collapsed to 1856 vertices (cost: 37.5)
Collapsed to 1855 vertices (cost: 50)
Collapsed to 1854 vertices (cost: 50)
Collapsed to 1853 vertices (cost: 50)
Collapsed to 1852 vertices (cost: 50)
Collapsed to 1851 vertices (cost: 50)
Collapsed to 1850 vertices (cost: 50)
Collapsed to 1849 vertices (cost: 20)
Collapsed to 1848 vertices (cost: 50)
Collapsed to 1847 vertices (cost: 50)
Collapsed to 1846 vertices (cost: 50)
Collapsed to 1845 vertices (cost: 50)
Collapsed to 1844 vertices (cost: 52.3809)
Collapsed to 1843 vertices (cost: 53.3333)
Collapsed to 1842 vertices (cost: 54.5455)
Collapsed to 1841 vertices (cost: 5.8068e-05)
Collapsed to 1840 vertices (cost: 55.5556)
Collapsed to 1839 vertices (cost: 45)
Collapsed to 1838 vertices (cost: 2.51415e-05)
Collapsed to 1837 vertices (cost: 55.3191)
Collapsed to 1836 vertices (cost: 56.25)
Collapsed to 1835 vertices (cost: 60)
Collapsed to 1834 vertices (cost: 60)
Collapsed to 1833 vertices (cost: 60)
Collapsed to 1832 vertices (cost: 60)
Collapsed to 1831 vertices (cost: 60)
Collapsed to 1830 vertices (cost: 49.7336)
Collapsed to 1829 vertices (cost: 60)
Collapsed to 1828 vertices (cost: 61.5385)
Collapsed to 1827 vertices (cost: 62.5)
Collapsed to 1826 vertices (cost: 50)
Collapsed to 1825 vertices (cost: 62.5)
Collapsed to 1824 vertices (cost: 62.5)
Collapsed to 1823 vertices (cost: 45)
Collapsed to 1822 vertices (cost: 64.2857)
Collapsed to 1821 vertices (cost: 65.1819)
Collapsed to 1820 vertices (cost: 66.6667)
Collapsed to 1819 vertices (cost: 21.021)
Collapsed to 1818 vertices (cost: 1.34037e-05)
Collapsed to 1817 vertices (cost: 66.6667)
Collapsed to 1816 vertices (cost: 62.5)
Collapsed to 1815 vertices (cost: 28.1251)
Collapsed to 1814 vertices (cost: 66.6667)
Collapsed to 1813 vertices (cost: 50)
Collapsed to 1812 vertices (cost: 41.6667)
Collapsed to 1811 vertices (cost: 66.6667)
Collapsed to 1810 vertices (cost: 4.39479e-05)
Collapsed to 1809 vertices (cost: 64.2857)
Collapsed to 1808 vertices (cost: 66.6667)
Collapsed to 1807 vertices (cost: 16.6667)
Collapsed to 1806 vertices (cost: 66.6667)
Collapsed to 1805 vertices (cost: 66.6667)
Collapsed to 1804 vertices (cost: 10)
Collapsed to 1803 vertices (cost: 10)
Collapsed to 1802 vertices (cost: 3.25979e-05)
Collapsed to 1801 vertices (cost: 66.6667)
Collapsed to 1800 vertices (cost: 2.49525e-05)
Collapsed to 1799 vertices (cost: 13.3334)
Collapsed to 1798 vertices (cost: 66.6667)
Collapsed to 1797 vertices (cost: 5.64381e-05)
Collapsed to 1796 vertices (cost: 0.000169311)
Collapsed to 1795 vertices (cost: 52.9412)
Collapsed to 1794 vertices (cost: 66.6667)
Collapsed to 1793 vertices (cost: 66.6667)
Collapsed to 1792 vertices (cost: 66.6667)
Collapsed to 1791 vertices (cost: 5.30885e-05)
Collapsed to 1790 vertices (cost: 66.6667)
Collapsed to 1789 vertices (cost: 3.27205e-06)
Collapsed to 1788 vertices (cost: 66.6667)
Collapsed to 1787 vertices (cost: 1.25503e-05)
Collapsed to 1786 vertices (cost: 1.25597e-05)
Collapsed to 1785 vertices (cost: 1.70742e-08)
Collapsed to 1784 vertices (cost: 66.6667)
Collapsed to 1783 vertices (cost: 66.6667)
Collapsed to 1782 vertices (cost: 3.23518e-06)
Collapsed to 1781 vertices (cost: 0.0371291)
Collapsed to 1780 vertices (cost: 0.0050819)
Collapsed to 1779 vertices (cost: 66.6667)
Collapsed to 1778 vertices (cost: 3.84171e-08)
Collapsed to 1777 vertices (cost: 27.2727)
Collapsed to 1776 vertices (cost: 25.3754)
Collapsed to 1775 vertices (cost: 44.1441)
Collapsed to 1774 vertices (cost: 1.06661e-05)
Collapsed to 1773 vertices (cost: 66.6667)
Collapsed to 1772 vertices (cost: 5.32111e-05)
Collapsed to 1771 vertices (cost: 66.6667)
Collapsed to 1770 vertices (cost: 8.80065e-05)
Collapsed to 1769 vertices (cost: 1.68026e-07)
Collapsed to 1768 vertices (cost: 66.6667)
Collapsed to 1767 vertices (cost: 66.6667)
Collapsed to 1766 vertices (cost: 2.49005e-05)
Collapsed to 1765 vertices (cost: 46.6668)
