Using hybrid two-pass approach
APSC: Starting from 1850 to 198
Collapsed to 1713 vertices (cost: 80.9859)
Collapsed to 1712 vertices (cost: 81.8182)
Collapsed to 1711 vertices (cost: 83.3333)
Collapsed to 1710 vertices (cost: 83.3333)
Collapsed to 1709 vertices (cost: 83.3333)
Collapsed to 1708 vertices (cost: 83.3333)
Collapsed to 1707 vertices (cost: 85.7143)
Collapsed to 1706 vertices (cost: 85.7143)
Collapsed to 1705 vertices (cost: 9.66939e-05)
Collapsed to 1704 vertices (cost: 85.7143)
Collapsed to 1703 vertices (cost: 3.34757e-05)
Collapsed to 1702 vertices (cost: 85.7143)
Collapsed to 1701 vertices (cost: 87.5)
Collapsed to 1700 vertices (cost: 87.9122)
Collapsed to 1699 vertices (cost: 88.2353)
Collapsed to 1698 vertices (cost: 88.8889)
Collapsed to 1697 vertices (cost: 4.24763e-05)
Collapsed to 1696 vertices (cost: 90.9091)
Collapsed to 1695 vertices (cost: 2.47934)
Collapsed to 1694 vertices (cost: 91.4634)
Collapsed to 1693 vertices (cost: 92.3077)
Collapsed to 1692 vertices (cost: 5.27126e-05)
Collapsed to 1691 vertices (cost: 58.0645)
Collapsed to 1690 vertices (cost: 19.3744)
Collapsed to 1689 vertices (cost: 94.4444)
Collapsed to 1688 vertices (cost: 20.4473)
Collapsed to 1687 vertices (cost: 76.2672)
Collapsed to 1686 vertices (cost: 1.21773e-05)
Collapsed to 1685 vertices (cost: 95)
Collapsed to 1684 vertices (cost: 1.82768)
Collapsed to 1683 vertices (cost: 96.4285)
Collapsed to 1682 vertices (cost: 99.9999)
Collapsed to 1681 vertices (cost: 100)
Collapsed to 1680 vertices (cost: 100)
Collapsed to 1679 vertices (cost: 100)
Collapsed to 1678 vertices (cost: 100)
Collapsed to 1677 vertices (cost: 33.3333)
Collapsed to 1676 vertices (cost: 100)
Collapsed to 1675 vertices (cost: 100)
Collapsed to 1674 vertices (cost: 49.0196)
Collapsed to 1673 vertices (cost: 1.01162e-05)
Collapsed to 1672 vertices (cost: 100)
Collapsed to 1671 vertices (cost: 75)
Collapsed to 1670 vertices (cost: 100)
Collapsed to 1669 vertices (cost: 100)
Collapsed to 1668 vertices (cost: 60)
Collapsed to 1667 vertices (cost: 100)
Collapsed to 1666 vertices (cost: 62.5)
Collapsed to 1665 vertices (cost: 100)
